"TOA5","CR200Series","CR200X","No_SN","CR200X.Std.03","Otemma_Septembre2018_5min_2downstream_s1107.cr2","24307","StageTemp"
"TIMESTAMP","RECORD","Stage_m","Temp_C"
"TS","RN","meters","deg C"
"","","Smp","Smp"
"2019-07-18 10:00:00",0,0.3755131,1.867558
"2019-07-18 10:10:00",1,0.3729427,1.922041
"2019-07-18 10:20:00",2,0.3658863,1.988331
"2019-07-18 10:30:00",3,0.3747126,2.053932
"2019-07-18 10:40:00",4,0.3698945,2.118809
"2019-07-18 10:50:00",5,0.38013,2.175095
"2019-07-18 11:00:00",6,0.3691193,2.234553
"2019-07-18 11:10:00",7,0.3671972,2.286918
"2019-07-18 11:20:00",8,0.4077367,2.345977
"2019-07-18 11:30:00",9,0.3813379,2.381713
"2019-07-18 11:40:00",10,0.3918196,2.427404
"2019-07-18 11:50:00",11,0.3922422,2.470946
"2019-07-18 12:00:00",12,0.3937025,2.522018
"2019-07-18 12:10:00",13,0.3983415,2.564095
"2019-07-18 12:20:00",14,0.4065122,2.612533
"2019-07-18 12:30:00",15,0.4018705,2.650569
"2019-07-18 12:40:00",16,0.426434,2.682695
"2019-07-18 12:50:00",17,0.4187568,2.7219
"2019-07-18 13:00:00",18,0.4123823,2.738723
"2019-07-18 13:10:00",19,0.4154614,2.751577
"2019-07-18 13:20:00",20,0.4270893,2.771439
"2019-07-18 13:30:00",21,0.4240009,2.775406
"2019-07-18 13:40:00",22,0.4327993,2.801808
"2019-07-18 13:50:00",23,0.4215215,2.816
"2019-07-18 14:00:00",24,0.424638,2.838428
"2019-07-18 14:10:00",25,0.4398582,2.853395
"2019-07-18 14:20:00",26,0.4313468,2.886842
"2019-07-18 14:30:00",27,0.4294079,2.901589
"2019-07-18 14:40:00",28,0.4466243,2.860136
"2019-07-18 14:50:00",29,0.4361007,2.833064
"2019-07-18 15:00:00",30,0.466984,2.794691
"2019-07-18 15:10:00",31,0.4448817,2.744855
"2019-07-18 15:20:00",32,0.448974,2.728301
"2019-07-18 15:30:00",33,0.454844,2.752852
"2019-07-18 15:40:00",34,0.4585998,2.711273
"2019-07-18 15:50:00",35,0.4679412,2.596719
"2019-07-18 16:00:00",36,0.4605343,2.626372
"2019-07-18 16:10:00",37,0.46536,2.643656
"2019-07-18 16:20:00",38,0.4646901,2.664043
"2019-07-18 16:30:00",39,0.4598161,2.584102
"2019-07-18 16:40:00",40,0.4407876,2.562145
"2019-07-18 16:50:00",41,0.4139418,2.504441
"2019-07-18 17:00:00",42,0.4550201,2.450228
"2019-07-18 17:10:00",43,0.4105734,2.449408
"2019-07-18 17:20:00",44,0.4556316,2.411813
"2019-07-18 17:30:00",45,0.4330146,2.368164
"2019-07-18 17:40:00",46,0.4451585,2.32214
"2019-07-18 17:50:00",47,0.4478556,2.238241
"2019-07-18 18:00:00",48,0.4525069,2.192099
"2019-07-18 18:10:00",49,0.4772341,2.158071
"2019-07-18 18:20:00",50,0.4598995,2.077154
"2019-07-18 18:30:00",51,0.4643744,2.010308
"2019-07-18 18:40:00",52,0.4716026,1.924935
"2019-07-18 18:50:00",53,0.4047244,1.829787
"2019-07-18 19:00:00",54,0.4468284,1.744894
"2019-07-18 19:10:00",55,0.4364058,1.674872
"2019-07-18 19:20:00",56,0.4668732,1.621732
"2019-07-18 19:30:00",57,0.4530503,1.592396
"2019-07-18 19:40:00",58,0.4601543,1.55464
"2019-07-18 19:50:00",59,0.4760641,1.518868
"2019-07-18 20:00:00",60,0.4715123,1.476524
"2019-07-18 20:10:00",61,0.4377971,1.426013
"2019-07-18 20:20:00",62,0.4490348,1.387605
"2019-07-18 20:30:00",63,0.4914188,1.349421
"2019-07-18 20:40:00",64,0.4481354,1.308571
"2019-07-18 20:50:00",65,0.4565254,1.268047
"2019-07-18 21:00:00",66,0.4641202,1.218425
"2019-07-18 21:10:00",67,0.4601081,1.16999
"2019-07-18 21:20:00",68,0.4588057,1.141191
"2019-07-18 21:30:00",69,0.437385,1.10703
"2019-07-18 21:40:00",70,0.4482941,1.081391
"2019-07-18 21:50:00",71,0.4332861,1.056744
"2019-07-18 22:00:00",72,0.4051217,1.047969
"2019-07-18 22:10:00",73,0.433319,1.033673
"2019-07-18 22:20:00",74,0.4573675,1.023717
"2019-07-18 22:30:00",75,0.4288064,1.003942
"2019-07-18 22:40:00",76,0.4373758,0.9823253
"2019-07-18 22:50:00",77,0.4371133,0.9588477
"2019-07-18 23:00:00",78,0.4299551,0.9468166
"2019-07-18 23:10:00",79,0.4389762,0.9416676
"2019-07-18 23:20:00",80,0.4477334,0.9357244
"2019-07-18 23:30:00",81,0.4308417,0.9257004
"2019-07-18 23:40:00",82,0.4355519,0.917338
"2019-07-18 23:50:00",83,0.4340964,0.9124469
